Player,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Shawn Marion,2000-01,22,PHO,NBA,SF,79,79,36.2,7.1,14.7,.480,0.3,1.0,.256,6.8,13.6,.497,.489,3.0,3.7,.810,2.8,7.9,10.7,2.0,1.7,1.4,1.6,2.7,17.3,21.0,.532,.071,.249,8.6,25.4,16.8,10.2,2.4,2.7,9.1,22.1,5.3,6.4,11.7,.196,2.3,1.8,4.1,4.4
Peja Stojaković,2001-02,24,SAC,NBA,SF,71,71,37.3,7.7,15.9,.484,1.8,4.4,.416,5.9,11.5,.510,.541,4.0,4.5,.876,1.0,4.2,5.3,2.5,1.1,0.2,2.0,1.7,21.2,19.3,.592,.274,.286,3.0,11.9,7.5,10.6,1.5,0.4,9.9,23.2,6.8,3.0,9.9,.179,3.2,-0.2,3.0,3.3
Steve Nash,2001-02,27,DAL,NBA,PG,82,82,34.6,6.4,13.3,.483,1.9,4.2,.455,4.5,9.1,.495,.554,3.2,3.6,.887,0.6,2.5,3.1,7.7,0.6,0.0,2.8,2.0,17.9,20.7,.602,.315,.269,2.0,7.9,5.0,36.1,1.0,0.1,15.8,23.0,9.5,0.3,9.9,.167,5.1,-2.1,3.1,3.6
Allen Iverson,2001-02,26,PHI,NBA,SG,60,59,43.7,11.1,27.8,.398,1.3,4.5,.291,9.8,23.4,.419,.422,7.9,9.8,.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,31.4,21.9,.489,.161,.351,1.9,9.6,5.8,27.6,3.5,0.4,11.0,37.8,2.6,4.3,6.9,.126,3.9,0.8,4.8,4.5
Kobe Bryant,2001-02,23,LAL,NBA,SG,80,80,38.3,9.4,20.0,.469,0.4,1.7,.250,9.0,18.3,.489,.479,6.1,7.4,.829,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2,23.2,.544,.083,.369,4.1,11.7,7.9,25.9,2.0,0.8,10.7,30.4,8.9,3.8,12.7,.199,4.3,0.3,4.6,5.2
Dikembe Mutombo,2001-02,35,PHI,NBA,C,80,80,36.3,4.0,8.0,.501,0.0,0.0,,4.0,8.0,.501,.501,3.5,4.6,.764,3.2,7.6,10.8,1.0,0.4,2.4,2.0,3.0,11.5,16.0,.574,.000,.568,10.0,23.5,16.8,4.8,0.5,5.0,16.3,15.1,4.1,5.5,9.6,.158,-0.5,1.2,0.7,2.0
Gary Payton,2001-02,33,SEA,NBA,PG,82,82,40.3,9.0,19.2,.467,0.9,2.9,.314,8.1,16.4,.494,.490,3.3,4.1,.797,1.0,3.9,4.8,9.0,1.6,0.3,2.5,2.2,22.1,22.9,.526,.150,.212,2.9,11.1,7.1,39.4,2.1,0.6,10.8,27.2,10.1,2.5,12.6,.183,5.2,-0.2,5.1,5.9
Paul Pierce,2001-02,24,BOS,NBA,SG,82,82,40.3,8.6,19.5,.442,2.6,6.3,.404,6.1,13.1,.461,.508,6.3,7.8,.809,1.0,5.9,6.9,3.2,1.9,1.0,2.9,2.9,26.1,22.3,.570,.325,.402,2.6,16.5,9.4,15.7,2.4,2.0,11.4,29.3,7.3,5.6,12.9,.187,4.7,1.3,5.9,6.6
Tim Duncan,2001-02,25,SAS,NBA,PF,82,82,40.6,9.3,18.3,.508,0.0,0.1,.100,9.3,18.2,.511,.508,6.8,8.5,.799,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5,27.0,.576,.007,.466,9.6,25.9,18.0,18.3,1.0,4.3,12.7,29.0,10.7,7.1,17.8,.257,5.4,2.2,7.6,8.0
Jason Kidd,2001-02,28,NJN,NBA,PG,82,82,37.3,5.4,13.9,.391,1.4,4.4,.321,4.0,9.4,.424,.442,2.5,3.0,.814,1.6,5.7,7.3,9.9,2.1,0.2,3.5,1.7,14.7,19.1,.484,.320,.217,4.7,17.2,10.9,42.5,3.0,0.5,18.7,22.5,3.1,5.8,8.9,.140,3.0,1.5,4.5,5.0
